ID,m/z,Rt(min),Metabolite name,Adduct type,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,MS/MS matched,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,KF,YF,KN,YN,KX,YX
225,304.0632,12.6,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,8.67,YN,304.0632:2812334 305.06655:555803 306.06991:341785,50.0431:2486 54.23089:2515 55.93492:4608 64.85946:2983 67.0546:4207 70.95857:6042 72.93765:9510 75.48286:3148 79.0546:6012 81.07008:5027 90.94773:3142 91.05475:8744 93.07009:7671 95.0493:4432 96.70517:3052 105.07023:5683 107.08531:4114 108.95804:2993 109.10163:2748 111.29336:3210 119.08549:6774 129.07079:3942 133.10097:4506 135.07996:3428 138.98447:7263 146.98897:5310 156.72945:3295 161.13139:5298 164.9996:10947 178.97861:3876 180.9937:4805 205.15802:5058 207.0097:5732 226.89359:3430 263.03445:38371 264.03714:3300 264.41595:3417 270.82159:3227 281.04797:17200 304.064:22799,0,23165,426471,2812334,21080,18971
282,305.152,18.617,"w/o MS2:(1S,8S,9S,10S,13R)-6,9,10-trimethyl-2-oxo-4,14-dioxatetracyclo[7.5.0.0?,??.0?,?]tetradeca-3(7),5-dien-8-yl acetate",[M+H]+,305.13834,C17H20O5,Naphthofurans,XWHQCPICYIBGNB-XLLMKQGQSA-N,O=C(OC1C2=C(OC=C2C)C(=O)C34OC4CCC(C)C13C)C,FALSE,100,6.34,YN,305.13852:1032466 306.14187:152428 307.14523:0,52.07569:2457 58.44764:2931 87.81186:3105 91.05475:2979 98.12387:2908 101.74894:3139 208.09859:3482 215.10609:14071 215.6096:5596 220.10104:3509 222.1152:4114 234.1142:9561 234.61436:4112 236.11075:6142 245.11687:9071 245.61986:7455 252.1237:6869 252.6256:5265 264.12668:10537 275.12805:25553 275.62686:4660 287.12726:13501 303.73767:3361 304.30069:3598 305.13806:4417 305.29483:4563,89140,5585,7227,1032466,271753,1684800
371,307.1154,9.179,w/o MS2:Phenylethyl 2-Glucoside,[M+H]+,307.1152,C14H20O6,O-glycosyl compounds,MLRIJUWUQTVDQE-RKQHYHRCSA-N,OCC1OC(OCCC=2C=CC=CC2)C(O)C(O)C1O,FALSE,100,4.79,YN,307.11542:2106983 308.11877:297576 309.12213:0,50.76936:2563 52.53162:2864 59.11133:3275 61.61598:2899 64.22806:2587 65.94841:2853 67.0546:4128 71.6811:2772 79.90055:2603 87.20634:3609 88.44343:2994 97.8048:3220 100.67518:2982 147.16489:4266 164.53828:3249 210.21271:2709 245.1132:19243 289.10294:13813 307.11447:26721,0,17817,507502,2106983,0,17638
505,310.0533,13.974,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,5.51,YN,310.0545:1503981 311.05785:814895 312.06121:0,64.29108:2794 66.54822:2676 105.92002:3157 149.02271:6058 153.01746:7772 161.65445:3496 193.64449:3314 229.048:9580 268.03268:5820 275.03323:3871 279.53888:3446,0,4382377,0,1503981,0,29497
548,311.0549,13.981,w/o MS2:Arbutin,[M+H]+,311.05276,C12H16O7,Phenolic glycosides,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,OC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1,FALSE,97.8,38.72,YF,311.05487:10125650 312.05822:1443282 313.06158:1072486,53.15752:2786 55.01845:6250 55.05485:9151 57.07032:5429 65.0392:3977 67.05465:10022 68.9976:15507 69.07043:4167 79.05466:7735 81.07014:11917 83.08607:6381 89.01815:3276 91.05482:6638 93.07016:5627 95.08629:7932 103.05401:11795 105.07031:5965 107.0854:4284 109.10171:7420 119.08558:3944 121.02765:27215 128.06171:4211 129.0695:6913 131.04854:30347 131.08553:7143 133.02682:4470 134.03651:4981 135.04433:7335 137.05937:6026 141.06972:3944 143.08525:5060 144.08054:3681 147.04317:13463 149.02287:131267 153.01772:50369 153.06966:11820 157.06503:7467 159.04359:7065 161.02295:5994 165.0701:7443 171.04401:13965 171.08006:4124 181.06517:25765 185.06068:9663 197.05981:7453 198.03934:3330 199.03951:13418 199.0742:15896 200.04189:4190 201.05457:4362 209.05859:10865 213.05363:9114 216.18135:3424 227.03317:11770 227.06857:21260 229.04819:6062 237.05295:39380 240.65517:3170 244.99336:3820 253.049:5025 255.06499:140849 256.0686:5207 265.04929:10277 266.05472:5496 274.19189:3300 275.2023:6472 279.53909:4228 282.05127:7652 283.05991:108420 284.06094:6006 293.04483:14052 293.2114:9575 311.05621:127961 311.23846:5396,0,10125650,0,493102,0,0
590,311.2683,12.29,Unknown,[M+NH4]+,null,null,null,null,null,FALSE,null,19.62,YN,311.26828:4160502 312.27163:945353 313.27499:373345,53.39904:2541 58.06602:3702 60.08163:3169 66.07607:3008 70.06578:5466 72.04506:13585 73.66971:2834 79.0546:5378 81.07077:6818 84.04514:6986 84.08095:7477 85.02916:90252 86.03208:8942 91.05474:3736 93.07008:8746 95.08533:3281 100.07628:322517 100.97088:3059 101.07873:3878 105.07023:11649 107.08531:3524 121.10103:4499 125.11202:3186 128.44038:3206 149.09517:3929 169.13362:150732 170.13741:4802 195.0215:3610 204.62956:3487 217.76022:3234 251.12817:4975 310.19952:17285 311.20175:9732 311.26895:42779,0,47732,50378,4160502,21568,8328
692,313.2369,17.165,"w/o MS2:(9Z,12E)-15,16-dihydroxyoctadeca-9,12-dienoic acid",[M+H]+,313.23734,C18H32O4,Lineolic acids and derivatives,LKLLJYJTYPVCID-JVVXYUKTSA-N,O=C(O)CCCCCCCC=CCC=CCC(O)C(O)CC,FALSE,99.9,47.39,YX,313.23685:25895078 314.2402:6854743 315.24356:837986,53.03929:4233 55.01837:4756 55.0548:32126 57.03427:12708 57.07064:8627 59.83283:3489 67.05466:64313 69.07042:36534 71.05005:22746 71.08679:3089 79.0546:53096 81.07009:81440 82.07892:2838 83.04932:6144 83.08609:19645 84.95999:8634 85.0648:12311 91.05465:32104 93.07007:68815 95.04922:6116 95.08619:88275 97.06503:12957 97.10132:6616 105.07052:22522 107.0863:47546 109.06481:6335 109.10158:26437 111.0798:5473 111.51071:3303 113.09639:4646 115.07585:11152 117.06929:8328 119.08535:24417 121.10098:41094 123.07999:7579 123.11626:7270 124.08579:3462 125.09601:6056 129.09155:3939 131.08527:24136 131.99522:3547 133.10086:13094 135.11684:20950 137.09569:4840 140.62721:3220 145.10091:11542 147.11726:22384 148.08672:10081 149.09506:4650 149.13292:21819 151.11107:4048 159.11565:6057 161.13321:7939 163.14787:7925 165.12617:4434 171.11589:4776 172.08798:10080 173.13277:36136 185.13203:3848 187.1478:9493 191.14394:12009 192.91046:7988 201.16245:3204 205.15787:3784 207.17628:6381 209.15308:22517 210.92245:3549 213.11525:4173 213.20674:3488 223.16728:3722 227.16264:3504 230.13983:15256 241.19383:6007 254.14008:7724 259.20554:14131 271.16827:6493 277.21716:68620 287.98254:3506 295.2244:15714 313.17886:10878 313.27347:5395,1085150,5902296,36606,129245,558255,25895078
737,314.2318,14.965,"w/o MS2:(2E,4E,8E)-7,13-dihydroxy-4,8,12-trimethyltetradeca-2,4,8-trienoic acid",[M+H]+,314.23257,C17H28O4,Sesquiterpenoids,RCKDDMWGRIYLCN-WRHFRISWSA-N,O=C(O)C=CC(=CCC(O)C(=CCCC(C)C(O)C)C)C,FALSE,99.7,6.62,YN,314.23184:1514812 315.23519:397941 316.23855:164123,50.13556:3119 54.29988:2491 55.59884:2681 60.08163:10328 70.75607:2699 85.02916:115304 95.70651:2982 100.29119:2954 108.12159:3251 114.99637:3754 128.1441:3529 254.14027:4674 304.15479:3139 314.23267:32230,252840,975704,632139,1514812,0,1286346
744,314.2688,14.909,w/o MS2:1-methyl-2-undecylquinolin-4-one,[M+H]+,314.27014,C21H31NO,Hydroquinolones,ZLIHBZFNMQLPOT-UHFFFAOYSA-N,O=C1C=C(N(C=2C=CC=CC12)C)CCCCCCCCCCC,FALSE,99.1,84.86,YF,314.26877:34055112 315.27212:7047723 316.27548:810603,55.05493:65069 56.05019:7422 57.07073:7568 67.05477:20733 69.07052:235337 70.07362:6130 72.08167:12877 79.05466:13402 81.07018:27992 83.08606:20274 85.02848:10716 85.06493:10785 86.09726:7547 91.05481:12043 93.07015:17285 95.08644:27033 97.10146:10527 100.11243:7087 105.07031:19158 107.08553:20567 109.1017:8381 111.11772:5781 114.1276:62992 117.07067:5778 119.08558:14028 121.10112:18394 123.08017:5236 128.14284:1202547 129.14751:40071 131.08551:12606 133.10106:13208 135.11578:5239 143.08524:7854 145.10112:16094 147.11591:5831 149.09702:6285 157.10049:10532 159.11589:10462 168.13914:6205 169.10054:5600 171.11613:9811 173.13135:5965 182.15405:17938 186.14935:6836 200.16539:23040 230.14018:5549 238.2168:7278 256.22797:6527 279.21136:7156 295.20709:5225 297.22235:46886 313.21609:8882 314.27042:77106,900568,34055112,142809,148416,131129,87977
746,314.2688,14.749,w/o MS2:1-methyl-2-undecylquinolin-4-one,[M+H]+,314.27014,C21H31NO,Hydroquinolones,ZLIHBZFNMQLPOT-UHFFFAOYSA-N,O=C1C=C(N(C=2C=CC=CC12)C)CCCCCCCCCCC,FALSE,99.1,95.88,YF,314.2688:36907984 315.27215:8496322 316.27551:895045,55.05492:155311 56.05026:56629 57.07073:13023 67.05475:55178 69.07054:70445 70.06584:22706 71.08633:11160 72.04454:8281 72.0811:62578 79.05466:28559 81.07014:94370 83.08607:13961 84.08102:25902 85.02923:12639 85.06493:12168 86.09725:60957 91.05482:14464 93.07015:34832 95.08564:65077 97.06518:13657 97.10156:71113 98.09722:9999 100.1124:70903 101.11544:9860 105.07031:17865 107.08539:23565 109.10171:10709 114.12781:1415367 115.13123:45138 119.08558:27413 121.10113:20858 121.66422:8446 133.10107:15338 135.11578:10556 143.08525:7953 147.11591:24817 164.14481:10784 171.11613:10777 173.13351:9216 182.15379:384724 183.15601:25059 200.1649:448123 201.16817:24411 215.35779:8157 224.20187:13794 242.20979:20859 314.26965:135549,673315,36907984,144429,707042,131129,79598
