Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Manually modified for quantification,Manually modified for annotation,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,KB,KB.1,KB.2,KF,KF.1,KF.2,KN,KN.1,KN.2,YB,YB.1,YB.2,YF,YF.1,YF.2,YN,YN.1,YN.2,YPF,YPF.1,YPF.2,Blood,NIAO
165,4.311,104.10701,Unknown,[M+H]+,,0.048,True,999,False,False,False,False,False,30.62,YN2,104.10701:5613212 105.11036:1371673 106.11372:1061042,56.05019:2508 58.0296:5860 58.06571:644565 59.06101:8890 59.06915:21270 60.04512:12608 61.04041:24945 62.03747:6914 62.04354:12366 62.04952:3950 62.06065:4596 63.04446:6139 69.03413:3255 69.93383:2273 72.04533:4338 74.06012:2709 86.06055:23619 86.09698:11634 87.04431:12316 95.0491:3148 103.08655:4972 104.0713:153097 104.10756:15816,1237266,1203072,3810293,738662,738662,738662,67763,86597,49206,1845545,1936440,1443062,448784,103585,85392,109734,5613212,94222,1692423,2971134,3082390,1741682,1939056
191,1.101,106.09747,Unknown,[M+H]+,found in higher mz's MsMs_1089,0.19,True,999,False,False,False,False,False,69.23,YN2,106.09738:5332338 107.10073:787341 108.10409:104295,53.00309:1908 56.90511:1823 58.06574:30902 59.04982:10139 59.06936:20815 60.04524:18887 61.01145:13263 61.04047:14903 62.06065:2725 68.0499:3173 70.06553:95246 71.04963:30980 76.0763:12675 79.05498:7168 88.03993:3907 88.076:166081 89.04256:63490 89.06008:6182 89.07922:4496 91.05453:2464 95.04911:3080 97.99295:2343 105.04562:2943 105.0691:3920 106.0503:3032 106.06585:19124 106.08655:143466,53360,505836,13158657,0,0,0,62030,277648,82673,1855466,1103551,540187,6147434,62078,5613780,84428,5332338,163786,0,0,0,1166401,1860184
577,0.871,122.08099,Unknown,[M+H]+,ion correlated with 576; ion correlated with 2665,0.095,True,999,False,False,False,False,False,48.22,YF1,122.08118:6838086 123.08453:1114602 124.08789:2631812,53.0393:4568 54.03446:3280 55.0424:3114 56.05022:59178 56.9654:20789 57.0344:29162 57.05353:2506 58.06562:4222 59.38512:2293 61.04048:17285 62.9908:2379 65.00594:2341 67.05473:6986 67.51059:10400 69.03408:4955 70.01315:2915 72.08124:3854 74.06067:6044 76.51604:5896 79.0183:43377 79.05506:18214 80.05013:26900 81.04562:17197 81.07043:8690 82.05326:5261 86.06052:3652 86.99326:3191 87.04483:5384 88.02348:41744 90.91865:5012 93.07066:6675 94.06544:9263 95.04923:13609 95.06046:7533 95.08595:4240 96.0446:14095 97.02859:3563 100.02479:6859 104.07119:83058 105.00368:7278 105.03834:33384 105.06978:48620 106.073:3756 118.03501:3133 121.04034:2776 121.06434:3879 122.06084:41435 122.07107:32619 122.08131:83146,53833,41212,63873,21497530,21497530,21497530,211673,472270,348116,4265378,1274106,2173137,6838086,6983702,1453169,280126,408129,231345,434137,0,376400,2570874,306533
744,1.146,126.10205,Unknown,[M+NH4]+,ion correlated with 3530; adduct linked to 215_[M+H]+; found in higher mz's MsMs_3356; found in higher mz's MsMs_1486,0.095,True,999,False,False,False,False,False,1423.04,YF1,126.10237:4363108 127.10572:1027587 128.10908:2537934,53.03936:17197 54.03444:10822 55.01854:13230 55.05478:11178 56.0502:23201 57.04534:7275 58.06568:12830 59.06095:3846 67.04221:5606 68.05037:66623 69.0341:15616 69.058:4608 70.06605:22824 71.04951:11353 71.06087:4127 79.05489:4912 80.05008:40541 81.03381:55368 81.0454:23122 81.0531:4000 81.07052:13375 82.02927:6560 82.06586:30393 83.04974:5821 83.0611:14049 84.04488:51462 84.08135:118051 85.02882:6267 85.07642:20320 86.06056:14007 86.09688:17274 95.06042:8816 96.0686:18643 96.08112:4290 97.07664:78448 98.06012:38462 98.072:15428 98.09687:12491 99.04443:8353 99.05565:3923 107.06094:5735 108.04465:67772 108.05638:4782 109.02906:60096 109.03967:16593 109.07657:999965 110.02354:14903 110.07295:9434 110.07935:46984 112.0632:5404 125.0708:38718 125.10786:44872 126.05556:213399 126.06631:146542 126.09181:119991 126.10255:331320,1333063,845054,3176178,126026,126026,126026,13176424,79474776,8033897,18904138,5131962,1355666,4363108,5505449,483370,53820308,1204805760,200182288,47614,150491,149957,8463922,486269452
892,0.922,129.13829,Unknown,[M+H]+,ion correlated with 216; ion correlated with 752; ion correlated with 2802; ion correlated with 3540; ion correlated with 805; adduct linked to 1699_[M+NH4]+,0.048,True,999,False,False,False,False,False,519.12,YN2,129.13829:81093352 130.14164:25712628 131.145:20160646,55.05484:11100 56.05028:26844 57.04537:19363 57.07074:5508 58.06575:49453 59.06918:6252 60.04508:10578 67.05478:5918 69.07059:3668 70.06555:63283 71.04967:45449 72.04474:3398 72.08136:23902 74.02392:13089 74.06071:3537 74.097:4379 80.66222:2756 82.06544:21744 83.06065:113963 83.06849:5437 83.08645:4445 84.04493:234197 84.06461:5901 84.08147:229148 85.04898:3931 85.06535:5100 85.08468:129066 86.06059:8975 86.08785:7421 88.03992:10885 88.07603:27350 100.07516:4491 101.10749:3456 102.05511:6796 102.06684:6926 111.0554:5102 111.08315:17523 111.09092:5118 112.0397:6071 112.05094:2839 112.07569:8361 112.11285:222071 113.11594:14831 128.06996:8280 128.08096:4398 128.10733:28853 128.12611:12962 129.01808:7240 129.05562:4541 129.06525:33576 129.1015:3429 129.11125:5688 129.13905:140669,2629223,480709,891457,242083,242083,242083,980237,5385301,1025439,248075,320492,294302,489628,1183061,148931,1451979,81093352,1319894,0,0,0,287623,27955075
1115,16.458,135.08026,Unknown,[M+H]+,ion correlated with 7129; found in higher mz's MsMs_10860; similar chromatogram in higher mz_7129; found in higher mz's MsMs_7129; similar chromatogram in higher mz_11253; found in higher mz's MsMs_11253; found in higher mz's MsMs_12759,0.095,True,999,False,False,False,False,False,15.96,YB1,135.0802:3547479 136.08355:929392 137.08691:417246,70.06544:6598 73.02898:7742 79.05496:4454 82.53757:2846 88.07596:9620 91.0546:36965 94.06566:11523 100.00587:3086 102.50929:2956 105.07001:18736 105.49834:3133 107.08628:122450 108.08951:8499 109.0108:10026 109.06483:12842 116.07036:3159 119.06084:6409 134.06012:6164 134.07043:6665 134.09694:3245 135.05482:7911 135.08014:14825,136741,87489,80973,214884,214884,214884,775567,779507,802770,3547479,2748970,3702985,351502,451395,395920,481479,486993,533446,167842,358258,411087,3333145,500639
1391,5.307,142.04971,Unknown,[M+H]+,adduct linked to 2228_[M+NH4]+; found in higher mz's MsMs_2228; found in higher mz's MsMs_2723,0.095,True,999,False,False,False,False,False,30.12,YN3,142.04971:8788850 143.05306:958639 144.05642:3876034,51.02382:4255 52.03152:4226 53.03934:3091 55.01844:8620 55.05484:7381 56.05019:18985 58.06609:3701 59.06101:9651 60.04508:8843 61.02908:3178 68.0499:9392 69.03413:92041 69.07059:5513 70.0655:12466 72.04475:5056 72.0813:8155 74.06072:6213 78.03442:5700 79.01836:23429 80.02636:18752 80.05016:6135 81.07049:5042 82.06531:5751 83.06067:17676 84.04488:6900 84.08142:4196 85.07652:4984 86.06059:8466 86.08407:4422 89.29967:2924 94.04217:6491 95.06052:8139 95.08602:3626 96.04467:22395 96.08123:3709 97.02867:70329 97.06583:5244 97.07672:16219 98.06019:31348 98.07118:4852 99.05576:10570 100.0391:6222 100.07612:7544 100.08656:5530 101.07088:7749 102.05511:6197 106.02854:11523 107.03703:12926 109.02917:3484 112.03944:14230 112.08695:4071 115.08646:2907 120.02395:5741 123.05555:3989 124.03878:582930 125.02326:16458 125.03385:4484 125.04225:25139 125.07098:10789 126.09196:43495 141.05557:3583 141.06511:7098 142.05069:51058 142.08598:20546 142.09723:18917 142.12294:10863,564730,885974,819528,306024,306024,306024,138053,205199,259318,1383098,1976448,1259650,291872,345496,298859,8549408,7289004,8788850,269013,725133,5019864,1539732,8209087
1460,17.772,143.10609,Unknown,[M+H]+,found in higher mz's MsMs_12793; found in higher mz's MsMs_12624; found in higher mz's MsMs_10929,0.143,True,999,False,False,False,False,False,24.24,YPF3,143.10609:49057212 144.10944:7665189 145.1128:1160167,55.0551:216715 57.07062:214304 59.04964:36640 60.08157:51559 65.03911:17559 67.05507:121646 69.03389:73333 69.07039:36888 70.0658:24352 71.04994:1466826 72.05323:48426 73.06545:195780 74.02425:27755 74.0605:31542 79.05484:52457 81.07021:65388 83.04954:157920 83.08615:125710 84.04462:21185 85.02865:17858 85.06506:711319 86.06866:22020 91.05508:17852 96.08094:12189 97.10183:214870 98.10498:16865 102.0557:59822 102.12806:205362 105.0698:15431 107.08587:589403 108.0892:21063 125.02287:21858 125.09572:426450 126.09962:34821 129.46078:11366 131.79973:11361 134.6416:10299 143.033:60210 143.10591:187568,0,19940,0,342748,342748,342748,317681,362176,360511,498287,627621,705344,3076396,2224320,3596191,269786,231080,239644,27702892,32078982,49057212,610417,246837
1478,17.558,143.10648,Unknown,[M+H]+,similar chromatogram in higher mz_10898,0.286,True,999,False,False,False,False,False,6.98,YF1,143.10658:4798910 144.10993:802331 145.11329:185980,55.01878:3549 55.05486:21264 56.05014:4761 57.07077:19016 60.04508:22671 61.02902:15869 61.04033:5198 67.05472:8271 69.03407:7613 69.07053:4282 70.06602:24885 71.0496:135044 71.54393:2353 73.02892:7551 73.06503:14459 74.0244:8587 74.06065:11572 79.0549:4091 81.07041:4478 83.04997:14725 83.08626:12544 84.04479:6880 85.02882:9012 85.06529:62841 85.7193:2520 89.76799:2221 97.02857:2782 97.10107:18757 98.06005:67956 98.09703:13299 102.0551:31334 102.09119:9334 102.12838:5213 103.05469:4339 107.08623:53700 108.08836:2479 125.02312:10031 125.09621:49314 126.05558:2635 126.09208:16599 142.08585:2976 142.12279:3346 143.03343:20489 143.10641:17573,0,1445,0,240830,240830,240830,287725,324195,409011,3714669,3822473,4457356,4798910,6428966,5577338,273986,227432,258078,684505,994795,514441,3998166,253165
1480,17.06,143.10657,Unknown,[M+H]+,ion correlated with 7865; ion correlated with 10977; found in higher mz's MsMs_12822; found in higher mz's MsMs_11646; found in higher mz's MsMs_11202; found in higher mz's MsMs_10936,0.143,True,999,False,False,False,False,False,88.79,YF1,143.10623:82998088 144.10958:11191718 145.11294:1059381,51.98061:2868 53.03928:4948 55.01876:5862 55.05481:66429 56.05013:3761 57.07071:85286 59.04983:12915 60.04502:20439 61.02903:22548 61.04032:7489 65.03923:7680 67.05474:32854 69.03407:30198 69.07052:10870 70.0659:36177 71.04951:426794 72.05341:12345 73.0289:5187 73.06557:60318 74.02439:4695 74.06064:12424 79.05474:18533 81.07053:20736 83.04971:43449 83.08628:46833 84.04478:7831 85.02881:8774 85.0652:228190 86.06882:7683 90.91697:6698 91.05524:8530 95.08591:3891 97.02856:6868 97.06573:4511 97.10196:68509 98.05993:61284 98.09686:9160 100.11304:3528 102.05485:29577 102.09216:7155 103.05467:4252 105.07:9969 107.08604:176268 108.0894:8912 109.06469:4820 125.0231:8853 125.09597:139009 126.05556:3851 126.0918:15308 128.06296:4424 133.67223:2637 142.08743:5765 143.03462:26321 143.1062:59665,81507,90131,39383,819065,819065,819065,223381,273635,257025,2253308,2568933,2619401,82998088,100252448,86585080,383612,301204,281433,1333422,1167878,1495980,2480547,322083
1483,3.998,143.11697,Unknown,[M+NH4]+,ion correlated with 739; ion correlated with 2654; ion correlated with 3535; adduct linked to 739_[M+H]+,0.048,True,999,False,False,False,False,False,33.25,YN1,143.11697:32985514 144.12032:10348829 145.12368:4080284,55.05484:12979 56.05019:11719 60.04508:8397 70.06554:200545 72.0813:8499 74.06072:10084 84.04488:24257 85.02891:12924 93.04179:8480 97.02866:11346 97.07672:13500 98.0602:529229 98.09698:13804 102.05511:15061 113.02917:21276 125.02325:10379 126.03692:18720 126.05436:23574 126.09197:717269 127.09421:26293 142.08598:14112 142.09723:13071 143.03346:115066 143.0822:14443 143.11809:63280,361994,359648,608228,119034,119034,119034,569621,640358,757543,399574,479006,263495,544771,775467,330424,32985514,3009773,2588726,225597,293130,179504,380692,12861338
1486,1.13,143.1172,Unknown,[M+H]+,ion correlated with 3530; ion correlated with 744,0.048,True,999,False,False,False,False,False,553.0,YN2,143.1172:408999936 144.12055:122702824 145.12391:23941112,54.66794:12829 56.05059:29283 69.03413:40645 70.0659:216624 72.08129:21147 74.06072:19079 84.04488:37429 84.08131:67028 85.06535:15673 98.06001:1513310 98.09698:37497 99.06417:47085 102.05511:61197 113.02916:41400 114.09187:30746 126.03691:32214 126.09188:4631386 127.09548:210883 142.12292:24422 143.03352:48723 143.11787:482852,1781389,1641023,5387660,907830,907830,907830,4174003,8173006,3731720,1477197,2960050,1955937,1758279,2880127,809960,18761194,408999936,91307600,655101,388605,132844,2131061,173022910
1487,4.311,143.11736,Unknown,[M+NH4]+,ion correlated with 746; ion correlated with 1837; ion correlated with 3527; ion correlated with 2644; adduct linked to 746_[M+H]+,0.048,True,999,False,False,False,False,False,63.4,YN2,143.11736:39961220 144.12071:12251503 145.12407:5264396,55.05484:10076 56.05019:11696 57.03437:2924 58.06567:4707 59.06101:7791 60.04508:4343 69.03413:8345 70.06554:77616 71.04959:5897 72.04475:4806 72.0813:5934 73.02898:5084 74.02386:3997 74.06072:23566 79.05498:3294 80.05016:4112 81.07049:3532 83.04984:5862 83.0606:5907 84.04491:17407 84.0807:3732 85.02891:7774 85.06535:3367 97.02866:7257 97.06493:5205 97.07672:9144 97.10213:3340 98.06017:272619 98.09698:7378 99.06324:5184 100.07612:3144 102.05504:40710 102.09228:3175 113.02917:11121 115.08646:3466 125.02325:11111 125.06037:3645 125.07098:4829 126.03691:9755 126.05436:10536 126.09193:356809 127.0954:17632 142.08598:7328 142.09723:6150 142.12294:3976 143.03352:59115 143.08058:3228 143.11765:25707,279483,264417,1153244,744984,744984,744984,642853,795105,657870,410057,370025,275006,353300,501506,354881,8846613,39961220,5230662,312820,659317,174199,351696,18012832
1614,4.593,145.04939,Unknown,[M+H]+,found in higher mz's MsMs_3943; found in higher mz's MsMs_3112,0.048,True,999,False,False,False,False,False,361.11,YB2,145.04939:302731520 146.05274:33376548 147.0561:7176916,53.03931:654760 55.01841:452735 55.05483:158995 57.03438:770455 57.65288:98495 59.04981:98386 60.04507:170213 62.11909:90450 68.04988:143805 69.03412:181351 70.06551:3279814 71.01324:173010 71.04966:2554821 71.06889:254208 81.03386:1132550 82.066:108097 83.04982:157184 84.04486:243045 85.02888:1561876 86.06058:163798 86.60755:100013 88.30687:97452 98.06019:5612794 98.09696:245539 99.04455:10151873 99.06387:722329 100.04762:375547 100.0761:200226 101.02365:312167 110.05991:146436 115.03844:180287 116.17953:106289 121.35295:98234 126.05434:139362 127.03851:2434622 128.07132:252355 129.0556:157111 144.06577:1038060 144.08235:114982 145.05003:1303032,1469951,4891508,5223298,1633931,1633931,1633931,427571,394375,953687,8984422,302731520,28425440,1435328,2182534,769224,1445215,949109,743905,4928248,12650060,7639854,113380461,1046076
1620,4.448,145.04944,Unknown,[M+H]+,similar chromatogram in higher mz_9134; found in higher mz's MsMs_3941; found in higher mz's MsMs_3109; found in higher mz's MsMs_2420; found in higher mz's MsMs_2378,0.048,True,999,False,False,False,False,False,511.84,YB3,145.04944:473066048 146.05279:44824272 147.05615:10581302,53.03938:1023453 55.01844:677721 55.05521:94950 57.03441:796806 59.0498:95089 69.03412:123928 70.06603:3395352 71.01324:189621 71.04961:3255482 71.06882:335538 76.9169:68701 81.03381:1229160 83.04981:109188 84.04485:104240 84.99245:181080 85.02892:1399140 86.03256:93365 86.06057:85826 97.02863:192697 98.06012:5574680 99.04452:12885175 99.06401:735029 100.04772:410246 100.07609:104610 101.02364:254735 104.40528:71346 111.04427:100339 115.0396:127316 116.07153:91030 126.05566:127845 127.0398:3086254 128.04245:89893 128.06993:162001 131.70258:81313 144.06569:840093 145.04991:1546818 145.06816:139271,1559140,5040272,5604961,1722245,1722245,1722245,486912,475421,415351,8368320,15586834,473066048,1545498,1706157,850033,1408586,895790,726346,5576389,13263180,7849258,165673734,1010241
