kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,¦¤m/z,mzDiff,Count,Molecular formula changes
C00950,C06484,C([C@H]([C@H](CS)O)O)S,C1[C@H]([C@H](CSS1)O)O,154.0122,151.9966,C4H10O2S2,C4H8O2S2,2.0156,2.0156,377,(/-H2)
C00074,C00111,C=C(C(=O)O)OP(=O)(O)O,C(C(=O)COP(=O)(O)O)O,167.9824,169.998,C3H5O6P,C3H7O6P,-2.0156,2.0156,377,(/+H2)
C11922,C18032,C[C@@H]1C(=O)[C@@H](C[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O,C[C@@H]1C(=O)CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O,530.0703,514.0754,C16H24N2O14P2,C16H24N2O13P2,15.9949,15.9949,293,(/-O)
C00091,C04348,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C[C@@H](C(=O)O)O)O,867.1313,883.1262,C25H40N7O19P3S,C25H40N7O20P3S,-15.9949,15.9949,293,(/+O)
C06390,C06392,CC(=O)[C@H]1[C@@H](CC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,CC(=O)C1=CCC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,332.2351,314.2246,C21H32O3,C21H30O2,18.0105,18.0105,186,(/-H2  /-O)
C00922,C03652,C/C(=C(\C)/C(=O)O)/C(=O)O,C[C@H](C(=O)O)C(C)(C(=O)O)O,144.0423,162.0528,C6H8O4,C6H10O5,-18.0105,18.0105,186,(/+H2  /+O)
C06055,C06056,C([C@H]([C@@H](C(=O)O)N)O)OP(=O)(O)O,C([C@H]([C@@H](C(=O)O)N)O)O,215.0195,135.0532,C4H10NO7P,C4H9NO4,79.9663,79.9663,149,(/-H  /-O3  /-P)
C00180,C06206,C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)C(=O)OP(=O)(O)O,122.0368,202.0031,C7H6O2,C7H7O5P,-79.9663,79.9663,149,(/+H  /+O3  /+P)
C00013,C00536,OP(=O)(O)OP(=O)(O)O,OP(=O)(O)OP(=O)(O)OP(=O)(O)O,177.9432,257.9096,H4P2O7,H5P3O10,-79.9664,79.9663,149,(/+H  /+P  /+O3)
C00064,C00152,C(CC(=O)N)[C@@H](C(=O)O)N,C([C@@H](C(=O)O)N)C(=O)N,146.0691,132.0535,C5H10N2O3,C4H8N2O3,14.0156,14.0156,135,(/-C  /-H2)
