kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,Δm/z,mzDiff,REACTION ID,ENZYME ID,COMMENT,PATHWAY
C04376,C04640,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC(=O)CNC=O)O)O)OP(=O)(O)O,C([C@@H]1[C@H]([C@H]([C@@H](O1)/N=C(/CNC=O)\N)O)O)OP(=O)(O)O,314.0515,313.0675,C8H15N2O9P,C8H16N3O8P,0.984,0.9840 ,R04463,6.3.5.3,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C16618,C16619,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=S,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=S)N,380.0192,379.0352,C10H13N4O8PS,C10H14N5O7PS,0.984,0.9840 ,R08244,6.3.5.2,0,rn00983: Drug metabolism - other enzymes
C05773,C19724,C/C/1=C/2\[C@H]([C@]([C@@]([N-]2)([C@H]3[C@@H]([C@@](C(=N3)/C(=C\4/[C@H](C(C(=N4)/C=C\5/[C@H]([C@](C1=N5)(C)CC(=O)O)CCC(=O)O)(C)C)CCC(=O)O)/C)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O.[Co+2],C/C/1=C/2\[C@H]([C@]([C@@]([N-]2)([C@H]3[C@@H]([C@@](C(=N3)/C(=C\4/[C@H](C(C(=N4)/C=C\5/[C@H]([C@](C1=N5)(C)CC(=O)N)CCC(=O)O)(C)C)CCC(=O)O)/C)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O.[Co+2],938.336,937.352,C45H59CoN4O14,C45H60CoN5O13,0.984,0.9840 ,R09598,6.3.5.11,"first step of two-step reaction (see R05815, R09598+R09599)",0
C06560,C08735,C1(=NC(=NC(=N1)Cl)N)N,C1(=NC(=O)N=C(N1)Cl)N,145.0155,145.9995,C3H4ClN5,C3H3ClN4O,-0.984,0.9840 ,R05569,3.8.1.8,"melaminde deaminase, TriA",rn00791: Atrazine degradation///rn01120: Microbial metabolism in diverse environments
C19788,C19789,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)N,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)O,182.0328,183.0168,C7H6N2O4,C7H5NO5,-0.984,0.9840 ,R09661,3.5.99.8,0,0
C00109,C01234,CCC(=O)C(=O)O,C1CC1(C(=O)O)N,102.0317,101.0477,C4H6O3,C4H7NO2,0.984,0.9840 ,R00997,3.5.99.7,multi-step reaction,rn00270: Cysteine and methionine metabolism///rn01100: Metabolic pathways
C02220,C03453,C(=C\C(=O)O)\C=C(/C(=O)O)\N,C(/C=C\C(=O)O)C(=O)C(=O)O,157.0375,158.0215,C6H7NO4,C6H6O5,-0.984,0.9840 ,R03887,3.5.99.5,0,rn00380: Tryptophan metabolism///rn01100: Metabolic pathways
C01097,C06377,C([C@@H]1[C@@H]([C@@H](C(O1)(CO)O)O)O)OP(=O)(O)O,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)OP(=O)(O)O,260.0297,259.0457,C6H13O9P,C6H14NO8P,0.984,0.9840 ,R08365,3.5.99.-,D-galactosamine 6-phosphate deaminase/isomerase,rn00052: Galactose metabolism///rn01100: Metabolic pathways
C00020,C00130,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,347.0631,348.0471,C10H14N5O7P,C10H13N4O8P,-0.984,0.9840 ,R00181,3.5.4.6///3.5.4.17,0,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01232: Nucleotide metabolism
C12739,C16635,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)F)O)O,246.0652,245.0812,C9H11FN2O5,C9H12FN3O4,0.984,0.9840 ,R08221,3.5.4.5,0,rn00983: Drug metabolism - other enzymes
