Reaction,First Reactant,First Product,Reactant Formula,Reactant MW,Product Formula,Product MW,MW Difference,Formula Difference
(+)-5-epi-aristolochene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  1-deoxycapsidiol + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-5-epi-aristolochene,1-deoxycapsidiol,C15H24,204.1878007704,C15H24O,220.1827153925,15.9949,O
(+)-5-epi-aristolochene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3-deoxycapsidiol + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-5-epi-aristolochene,3-deoxycapsidiol,C15H24,204.1878007704,C15H24O,220.1827153925,15.9949,O
(+)-6a-hydroxymaackiain + S-adenosyl-L-methionine  ->  (+)-pisatin + S-adenosyl-L-homocysteine + H+,(+)-6a-hydroxymaackiain,(+)-pisatin,C16H12O6,300.0633881178,C17H14O6,314.079038182,14.0157,CH2
(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + H2O  ->  cis-tuberonic acid + L-isoleucine,(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine,cis-tuberonic acid,C18H28NO5,339.2045730466,C12H17O4,226.1205090662,-113.0841,-C6-H11-N-O
(+)-7-epi-jasmonoyl-CoA + acetyl-CoA  <-  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA + coenzyme A,3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA,(+)-7-epi-jasmonoyl-CoA,C35H50N7O19P3S,1001.2408028097,C33H48N7O18P3S,959.2302381234,-42.0106,-C2-H2-O
(+)-7-epi-jasmonoyl-L-isoleucine + H2O  ->  (+)-7-epi-jasmonate + L-isoleucine,(+)-7-epi-jasmonoyl-L-isoleucine,(+)-7-epi-jasmonate,C18H28NO4,323.2096584245,C12H17O3,210.1255944441,-113.0841,-C6-H11-N-O
(+)-7-epi-jasmonoyl-L-isoleucine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-7-epi-jasmonoyl-L-isoleucine,(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine,C18H28NO4,323.2096584245,C18H28NO5,339.2045730466,15.9949,O
(+)-7-epi-jasmonoyl-L-phenylalanine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-hydroxyjasmonoyl-L-phenylalanine + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-7-epi-jasmonoyl-L-phenylalanine,(+)-7-epi-12-hydroxyjasmonoyl-L-phenylalanine,C21H26NO4,357.1940083603,C21H26NO5,373.1889229824,15.9949,O
"(+)-afzelechin + NADP+ + H2O  <-  (2R,3S,4S)-leucopelargonidin + NADPH + H+","(2R,3S,4S)-leucopelargonidin",(+)-afzelechin,C15H14O6,290.079038182,C15H14O5,274.0841235599,-15.9949,-O
(+)-borneol + NAD+  <-->  (R)-camphor + NADH + H+,(+)-borneol,(R)-camphor,C10H18O,154.1357651999,C10H16O,152.1201151357,-2.0157,-H2
