Reaction Object ID,Reaction-List,Reactants of reaction,Reactants-Object ID,Reactants-Chemical Formula,Reactants-Monoisotopic-Molecular-Weight,Products of reaction,Products-Object ID,Products-Chemical Formula,Products-Monoisotopic-Molecular-Weight
RXN-4802,(+)-5-epi-aristolochene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  1-deoxycapsidiol + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-5-<i>epi</i>-aristolochene // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-4664 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H24 // O2 // ,204.1878007704d0 // 31.9898292442d0,1-deoxycapsidiol // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-4662 // WATER // Ox-NADPH-Hemoprotein-Reductases,C15H24O // H2O // ,220.1827153925d0 // 18.0105646863d0
RXN-4801,(+)-5-epi-aristolochene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3-deoxycapsidiol + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-5-<i>epi</i>-aristolochene // dioxygen // a reduced [NADPH-hemoprotein reductase],CPD-4664 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C15H24 // O2 // ,204.1878007704d0 // 31.9898292442d0,3-deoxycapsidiol // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase],CPD-4663 // WATER // Ox-NADPH-Hemoprotein-Reductases,C15H24O // H2O // ,220.1827153925d0 // 18.0105646863d0
RXN-4002,(+)-6a-hydroxymaackiain + S-adenosyl-L-methionine  ->  (+)-pisatin + S-adenosyl-L-homocysteine + H+,<i>S</i>-adenosyl-L-methionine // (+)-6a-hydroxymaackiain,S-ADENOSYLMETHIONINE // CPD-3942,C15H23N6O5S // C16H12O6,400.1528886021d0 // 300.0633881178d0,H<SUP>+</SUP> // (+)-pisatin // <i>S</i>-adenosyl-L-homocysteine,PROTON // CPD-3944 // ADENOSYL-HOMO-CYS,H // C17H14O6 // C14H20N6O5S,1.0078250321d0 // 314.079038182d0 // 384.1215884737d0
RXN-18481,(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + H2O  ->  cis-tuberonic acid + L-isoleucine,(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-isoleucine // H<sub>2</sub>O,CPD-13420 // WATER,C18H28NO5 // H2O,339.2045730466d0 // 18.0105646863d0,<i>cis</i>-tuberonic acid // L-isoleucine,CPD-11260 // ILE,C12H17O4 // C6H13NO2,226.1205090662d0 // 131.0946286667d0
RXN-18479,(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-oxojasmonoyl-L-isoleucine + oxidized [NADPH-hemoprotein reductase] + 2 H2O,(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-isoleucine // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-13420 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C18H28NO5 //  // O2,339.2045730466d0 // 31.9898292442d0,(+)-7-<i>epi</i>-12-oxojasmonoyl-L-isoleucine // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-19811 // Ox-NADPH-Hemoprotein-Reductases // WATER,C18H26NO5 //  // H2O,337.18892298239996d0 // 18.0105646863d0
RXN-18480,(+)-7-epi-12-oxojasmonoyl-L-isoleucine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-hydroxy-12-oxojasmonoyl-L-isoleucine + oxidized [NADPH-hemoprotein reductase] + H2O + H+,(+)-7-<i>epi</i>-12-oxojasmonoyl-L-isoleucine // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-19811 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C18H26NO5 //  // O2,337.18892298239996d0 // 31.9898292442d0,(+)-7-<i>epi</i>-12-hydroxy-12-oxojasmonoyl-L-isoleucine // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase] // H<SUP>+</SUP>,CPD-19812 // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON,C18H25NO6 // H2O //  // H,353.18383760449996d0 // 18.0105646863d0 // 1.0078250321d0
RXN-745,(+)-7-epi-jasmonate  <-->  (-)-jasmonate,(+)-7-<i>epi</i>-jasmonate,CPD-731,C12H17O3,210.1255944441d0,(-)-jasmonate,CPD-734,C12H17O3,210.1255944441d0
RXN-10701,(+)-7-epi-jasmonoyl-CoA + acetyl-CoA  <-  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA + coenzyme A,3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA // coenzyme A,CPD-11528 // CO-A,C35H50N7O19P3S // C21H32N7O16P3S,1001.2408028097d0 // 767.1152083656d0,(+)-7-<i>epi</i>-jasmonoyl-CoA // acetyl-CoA,CPD-11529 // ACETYL-COA,C33H48N7O18P3S // C23H34N7O17P3S,959.2302381234d0 // 809.1257730519d0
RXN-10708,(+)-7-epi-jasmonoyl-CoA + H2O  ->  (+)-7-epi-jasmonate + coenzyme A + H+,(+)-7-<i>epi</i>-jasmonoyl-CoA // H<sub>2</sub>O,CPD-11529 // WATER,C33H48N7O18P3S // H2O,959.2302381234d0 // 18.0105646863d0,H<SUP>+</SUP> // (+)-7-<i>epi</i>-jasmonate // coenzyme A,PROTON // CPD-731 // CO-A,H // C12H17O3 // C21H32N7O16P3S,1.0078250321d0 // 210.1255944441d0 // 767.1152083656d0
RXN-12421,(+)-7-epi-jasmonoyl-L-isoleucine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + oxidized [NADPH-hemoprotein reductase] + H2O,(+)-7-<i>epi</i>-jasmonoyl-L-isoleucine // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-11259 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C18H28NO4 //  // O2,323.2096584245d0 // 31.9898292442d0,(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-isoleucine // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-13420 // Ox-NADPH-Hemoprotein-Reductases // WATER,C18H28NO5 //  // H2O,339.2045730466d0 // 18.0105646863d0
