id,rt,mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Manually modified for quantification,Manually modified for annotation,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,sample_KN,sample_KX,sample_MEOH3,sample_SJ,sample_SJ_N,sample_SJ_X,matched_parent_mz,delta_Da
710,8.991,148.03914,w/o MS2:Isatin,[M+Na]+,found in higher mz's MsMs_4998; found in higher mz's MsMs_6335; similar chromatogram in higher mz_6405; similar chromatogram in higher mz_7384; similar chromatogram in higher mz_5861; adduct linked to 3782_[2M+NH4]+,0.333,True,,148.03931,C8H5NO2,Indolines,JXDYKVIHCLTXOP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C(=O)N2,530,True,True,False,False,False,76.9,,,,,20.27,KN,148.03914:5273932 149.04249:840199 150.04585:500049,53.03927:8166 55.67119:2855 65.03919:19999 71.92972:3008 77.03948:2572 78.01829:5724 79.05451:3261 91.05466:21169 92.04995:58464 93.03423:3351 93.07084:2509 95.04923:37344 97.00699:3904 103.05481:5685 105.04459:6793 105.07018:16086 107.0852:4530 107.95109:3885 111.04425:4358 119.04963:4224 119.0854:12162 120.04504:90408 120.08118:5012 121.0289:22094 121.039:5551 121.04784:5360 123.96394:4031 125.96023:3726 130.0285:9779 130.08618:4833 130.96581:2850 131.08527:2984 146.02351:6459 147.04459:6871 147.05473:7282 147.08011:11165 147.11732:7933 148.03883:223640 148.07584:12088 148.09692:17764 148.1106:5260,5273932,574123,425650,363847,2649063,486042,,
711,6.98,148.03918,Unknown (carbon number 8); PlaSMA ID-201,[M+H]+,,0.333,True,3.15,148.0403,C8H5NO2,Unknown,,,430,True,True,True,False,False,82.9,99.9,58.4,86.2,100.0,12.0,KN,148.03918:3538798 149.04253:647494 150.04589:811703,55.01873:3360 57.03425:2844 60.08156:3232 65.03905:34248 71.9303:3733 75.02711:23932 79.05451:11385 84.04505:3361 87.11209:2733 89.94025:4961 91.05443:17719 92.04985:12091 93.03416:12535 93.06998:11132 95.04919:3297 97.00789:7359 100.07616:11624 103.05481:4269 105.07011:11605 107.08624:7888 107.95108:8059 111.0444:36235 119.04962:7391 119.08536:6442 120.04497:583474 121.02868:17777 121.04026:4659 121.04762:22104 121.06426:3304 121.1009:5113 123.96393:4988 125.96157:9606 128.95113:6440 130.0285:5164 130.96721:6318 131.08527:6739 146.96176:4522 147.04459:11464 147.05473:19301 147.08009:7998 148.03882:102551 148.08665:3324 148.09692:14321 148.11229:9568,3538798,880934,480730,481940,1645746,770577,,
716,8.863,148.07539,w/o MS2:3-Methyloxyindole,[M+H]+,found in higher mz's MsMs_1864; found in higher mz's MsMs_1361,0.333,True,1.092,148.0757,C9H9NO,Indolines,BBZCPUCZKLTAJQ-UHFFFAOYSA-N,OC1=NC=2C=CC=CC2C1C,530,True,True,False,False,False,73.8,99.7,,,,99.94,SJ_X,148.07539:36423984 149.07874:5350597 150.0821:1043171,51.02352:9087 53.03937:18946 65.03924:46787 77.03898:15388 79.05467:64728 80.04984:11086 91.0548:162961 93.03441:15332 93.07016:341149 94.07359:13985 95.04944:119374 102.04654:10088 103.05501:1588806 104.05727:83203 105.04479:22120 105.07031:487238 106.07322:29966 107.04968:11853 111.04446:16095 118.06563:40806 119.07327:24990 120.08141:3049990 121.02787:89024 121.03924:20524 121.0645:12622 121.0847:152944 123.96418:7322 130.06531:143374 131.04849:40522 131.06845:8501 144.08054:17952 147.04318:11256 148.03925:29385 148.07497:76524 148.09549:13595,322148,13714249,198467,134594,239542,36423984,,
1074,1.216,164.06696,w/o MS2:Clozapine (Clozaril),[M+H]+,,0.167,True,,164.073,C18H19ClN4,Dibenzodiazepines,QZUDBNBUXVUHMW-UHFFFAOYSA-N,N1C2=C(C(=NC3=C1C=CC(=C3)Cl)N4CCN(CC4)C)C=CC=C2,530,True,True,False,False,False,83.3,,,,,432.58,SJ,164.06696:48388840 165.07031:9260217 166.07367:10219973,58.99842:149397 68.98285:31249 73.02874:54936 74.03207:53621 77.00882:54370 82.01418:1897623 83.01471:181589 85.844:16539 86.99361:38651 100.0251:7430825 101.00853:159888 101.02563:799013 102.02891:32235 105.00392:36886 107.28742:15287 110.0086:26265 118.03517:3942288 119.01914:622788 119.03681:387322 123.04004:1385142 124.02436:42593 124.04141:139363 128.0191:137138 136.04547:491184 137.02991:134345 137.04716:40382 141.05058:880186 142.03453:541365 142.05273:108643 146.0304:565858 147.02454:78234 159.06049:160930 160.04491:126772 164.04086:167560 164.06738:89351,874043,668256,285948,48388840,1147421,542233,,
1081,1.216,165.05096,w/o MS2:trans-4-Coumaric acid,[M+H]+,,0.167,True,4.008,165.05463,C9H8O3,Hydroxycinnamic acids,NGSWKAQJJWESNS-ZZXKWVIFSA-N,OC(=O)\C=C\C1=CC=C(O)C=C1,530,True,True,False,False,False,65.8,100.0,,,,124.58,SJ,165.05096:18828654 166.05431:10184935 167.05767:3080142,58.99842:65052 59.99915:16316 60.99601:11746 70.06582:8973 75.0334:7827 77.00882:22544 82.01416:497561 83.01456:102632 84.01154:76017 86.99361:17297 91.05479:8250 100.02506:2458978 101.00852:101446 101.02559:596518 102.02211:420930 105.00392:18420 110.00969:12744 114.03996:8489 118.03518:1262967 119.01912:466440 119.03688:312558 120.02034:40744 120.0327:215198 121.06445:8273 123.04002:531949 123.95496:9043 124.02447:34170 124.04117:133555 124.08725:11156 125.03755:81827 128.01897:40809 129.0208:8837 132.05006:8411 136.04549:163808 137.03:124929 137.04106:53097 138.04279:36106 141.05057:344002 142.03461:362540 142.05252:94241 142.9668:18700 143.03651:31415 143.04788:51456 146.0304:158760 147.02452:57856 148.02637:48678 159.06078:46088 160.04514:91645 161.04614:11039 164.04073:38640 164.06676:59476 165.04993:68216,202467,342900,375400,18828654,288871,448560,,
1084,2.413,165.0545,Unknown (carbon number 9); PlaSMA ID-339,[M+H-NH3]+,found in higher mz's MsMs_6531; found in higher mz's MsMs_1523,0.167,True,1.62,165.05521,C9H11NO3,Unknown,,,430,True,True,True,False,False,87.0,100.0,80.8,83.1,75.0,265.17,SJ,165.0545:57774968 166.05785:6028279 167.06121:399713,53.03931:72000 65.03919:31911 67.05464:26024 77.03897:43174 81.07013:30046 91.05481:612066 92.05755:28101 93.07014:46109 95.04934:2868974 96.05285:107855 103.055:155459 105.04473:73161 107.04966:16176 109.06497:136432 119.04978:1794640 120.05213:110031 121.06443:90556 123.0439:4128176 124.04792:187485 137.05945:69090 142.96683:20157 147.04475:676133 148.04762:38476 165.05396:178333,300962,285890,279923,57774968,253712,320853,,
1085,6.291,165.05457,w/o MS2:trans-4-Coumaric acid,[M+H]+,found in higher mz's MsMs_1524; found in higher mz's MsMs_2235,0.167,True,4.008,165.05463,C9H8O3,Hydroxycinnamic acids,NGSWKAQJJWESNS-ZZXKWVIFSA-N,OC(=O)\C=C\C1=CC=C(O)C=C1,530,True,True,False,False,False,70.5,100.0,,,,6.01,SJ_X,165.05457:2374900 166.05792:606517 167.06128:380558,53.03938:8280 63.90861:4337 65.03922:12978 66.03439:4827 67.05519:4853 70.06586:8162 73.02885:44412 74.03211:14661 75.03327:38046 76.03636:3914 79.05468:5723 80.04985:3963 81.07016:10636 83.06096:9933 91.05483:523123 92.05756:69192 93.07012:86072 94.07361:12530 95.04936:154316 95.08632:4829 103.05397:68209 104.05839:11247 105.04481:10331 105.07034:3985 107.04972:34775 107.0612:30236 108.04498:7994 109.06498:19389 109.10066:4927 116.00176:5017 116.0717:11470 118.06563:18822 118.07536:10231 119.04978:241673 119.08562:9540 120.05253:35200 120.08135:100386 121.06445:379113 122.06852:67904 123.04389:155696 124.08734:26291 136.07552:174967 137.0594:12014 137.07913:28837 137.09595:7366 138.05388:4571 138.69604:4243 142.52534:9364 142.96687:12099 146.06004:17929 147.04453:35044 148.08698:15652 164.07062:40021 164.10696:4427 165.01785:4501 165.05405:6782 165.09026:4379 165.1144:8706 165.12646:6458,140624,1001729,203250,182781,273649,2374900,,
1086,2.734,165.05463,Unknown (carbon number 9); PlaSMA ID-339,[M+H-NH3]+,found in higher mz's MsMs_6530; found in higher mz's MsMs_2579; found in higher mz's MsMs_1525,0.333,True,1.62,165.05521,C9H11NO3,Unknown,,,430,True,True,True,False,False,87.0,100.0,81.0,82.7,75.0,359.7,SJ_X,165.05453:133380656 166.05788:13141568 167.06124:636838,53.03929:137729 65.03922:66371 67.05519:32908 73.02879:33903 77.03912:135967 81.07086:37154 91.05479:1429479 92.05759:33121 93.07018:100240 95.04936:5745436 96.05266:175755 103.05403:333658 104.05839:46425 105.04442:161231 109.06518:276606 118.06442:34044 119.04982:3757372 120.05267:149699 121.06443:201993 123.04393:8304480 124.04794:238668 137.0592:149361 147.04314:1245063 148.04768:49276 165.05405:381446,479618,155489648,342346,620269,353935,133380656,,
1087,8.673,165.05466,w/o MS2:Vanillic acid (not validated),[M+H]+,found in higher mz's MsMs_4115,0.167,True,3.84,165.0551,C9H10O4,Methoxyphenols,QRMZSPFSDQBLIX-UHFFFAOYSA-N,O=C(O)CC1=CC=C(O)C(OC)=C1,530,True,True,False,False,False,74.3,99.9,,,,5.75,SJ_N,165.05466:3819939 166.05801:500204 167.06137:233178,55.01835:3131 58.48149:2190 60.57526:2314 65.54943:2446 66.03425:4005 67.05455:12133 67.54669:2062 70.06571:7708 73.02881:32767 74.03222:12650 75.03322:24443 79.05452:5770 81.03401:4499 81.06999:9425 83.06079:9502 83.93045:3465 91.0547:31532 93.06999:7264 95.0492:8356 95.08612:9105 101.00254:2461 103.05382:6521 104.05716:3783 105.07012:7433 107.04948:3052 107.06113:40627 107.0852:2848 108.04476:4606 109.06478:5915 109.10167:15585 113.35114:2920 116.07027:6924 118.07512:7665 119.04964:6912 119.08553:28606 120.08118:5323 120.47147:2527 121.06427:5159 121.10091:4239 122.07227:5655 123.04408:31084 123.07996:2927 124.08691:16991 132.05273:7312 137.05911:7385 137.0957:30544 142.96675:21144 147.0446:8477 147.08003:16217 148.08636:23678 153.37154:2968 164.07872:9029 165.05383:79392 165.08994:93893 165.11404:9167 165.12814:5187,168376,165141,186311,133470,3819939,216227,,
1088,8.784,165.0547,trans-4-Coumaric acid,[M+H]+,found in higher mz's MsMs_3160,0.333,True,4.01,165.05463,C9H8O3,Hydroxycinnamic acids,NGSWKAQJJWESNS-UHFFFAOYSA-N,O=C(O)C=CC1=CC=C(O)C=C1,430,True,True,True,False,False,89.9,99.9,75.6,91.2,100.0,6.7,KN,165.0547:5210958 166.05805:845828 167.06141:415217,55.01873:3887 65.03931:12571 66.03475:5650 67.05513:13163 70.0657:9182 73.02909:31590 74.03255:7574 75.03303:30111 79.0545:4814 81.07067:7941 83.05001:4197 83.06077:10886 83.93044:7265 91.05459:185283 92.05822:4203 93.07083:6597 95.04941:13654 95.0861:4743 100.0249:3606 103.0548:5250 105.07011:6519 107.04947:6358 107.06097:31262 108.04474:5280 109.06476:4700 109.10141:14458 116.07025:6863 117.07044:4059 118.0751:9294 119.04955:335073 119.08538:30576 120.05222:15002 120.08116:6159 121.06425:5534 122.07225:8390 123.04438:12428 123.08123:5906 124.08706:21797 134.97415:3052 137.0591:6327 137.09558:30924 142.96661:25828 147.04454:564164 147.08009:11976 148.04758:26271 148.08688:31740 163.03917:3607 164.0704:19820 164.1066:3423 165.05368:11688 165.08989:116580 165.11403:10070 165.1261:5527,5210958,193356,158392,197120,4593562,336755,,
