ID,m/z
1,100.0761
2,100.0761
4,101.09657
9,103.0507
14,103.05448
15,103.05449
16,103.05454
17,104.05309
18,104.05322
24,104.10721
27,105.03383
28,105.07032
31,106.08646
32,106.08647
33,106.08648
35,106.08671
41,107.04943
42,107.0496
51,109.07631
57,109.10144
60,110.00909
63,110.02012
66,110.02016
67,110.02034
68,110.02037
69,110.0204
71,111.00805
74,111.05546
76,111.09194
78,112.05077
82,112.05083
89,112.96713
91,113.03466
95,113.9638
98,113.96382
105,114.0663
107,114.09143
111,114.09168
125,116.07071
126,116.07071
127,116.07075
128,116.07076
129,116.07078
130,116.07078
131,116.07078
132,116.07079
133,116.07079
134,116.07079
135,116.0708
136,116.0708
137,116.07081
146,117.07005
149,118.06538
150,118.08629
152,118.08631
153,118.08631
154,119.0492
155,119.04928
158,119.08561
161,119.08564
163,120.02562
165,120.04461
166,120.04462
167,120.04463
169,120.0657
170,120.08075
171,120.08077
172,120.08082
173,120.08112
175,121.02845
177,121.06483
178,121.06484
179,121.06485
180,121.06487
181,121.06487
184,121.07625
188,121.10137
191,121.10146
198,122.07122
199,122.09651
202,123.04031
204,123.04395
205,123.04419
206,123.0442
207,123.04421
209,123.04429
211,123.0553
212,123.05531
218,123.1168
228,124.03942
229,124.08692
230,124.08695
231,124.08699
232,124.087
233,124.08701
235,124.08702
241,125.07106
242,125.09032
243,125.09621
247,125.10753
252,126.02217
253,126.05503
256,126.06642
257,126.06648
259,126.09134
260,126.09135
261,126.09136
262,126.10273
263,127.03888
264,127.03913
265,127.03916
266,127.0392
267,127.05014
268,127.05039
272,127.12313
275,128.01938
284,128.10713
286,128.10715
291,129.01834
296,129.06604
303,130.04985
304,130.04985
306,130.05009
307,130.06496
308,130.06499
309,130.06499
310,130.06499
311,130.06499
312,130.065
313,130.06503
314,130.06506
315,130.06506
317,130.08612
318,130.08635
319,130.08636
320,130.08644
322,130.12273
323,130.12273
324,130.15898
328,130.97739
330,131.04889
332,131.04919
338,131.04922
340,131.04929
346,131.08562
