Original MS1 Information
==================================================
Total metabolites in MS1: 5748

ID	m/z
1	100.076100
2	100.076100
4	101.096570
9	103.050700
14	103.054480
15	103.054490
16	103.054540
17	104.053090
18	104.053220
24	104.107210
27	105.033830
28	105.070320
31	106.086460
32	106.086470
33	106.086480
35	106.086710
41	107.049430
42	107.049600
51	109.076310
57	109.101440
60	110.009090
63	110.020120
66	110.020160
67	110.020340
68	110.020370
69	110.020400
71	111.008050
74	111.055460
76	111.091940
78	112.050770
82	112.050830
89	112.967130
91	113.034660
95	113.963800
98	113.963820
105	114.066300
107	114.091430
111	114.091680
125	116.070710
126	116.070710
127	116.070750
128	116.070760
129	116.070780
130	116.070780
131	116.070780
132	116.070790
133	116.070790
134	116.070790
135	116.070800
136	116.070800
137	116.070810
146	117.070050
149	118.065380
150	118.086290
152	118.086310
153	118.086310
154	119.049200
155	119.049280
158	119.085610
161	119.085640
163	120.025620
165	120.044610
166	120.044620
167	120.044630
169	120.065700
170	120.080750
171	120.080770
172	120.080820
173	120.081120
175	121.028450
177	121.064830
178	121.064840
179	121.064850
180	121.064870
181	121.064870
184	121.076250
188	121.101370
191	121.101460
198	122.071220
199	122.096510
202	123.040310
204	123.043950
205	123.044190
206	123.044200
207	123.044210
209	123.044290
211	123.055300
212	123.055310
218	123.116800
228	124.039420
229	124.086920
230	124.086950
231	124.086990
232	124.087000
233	124.087010
235	124.087020
241	125.071060
242	125.090320
243	125.096210
247	125.107530
252	126.022170
253	126.055030
256	126.066420
257	126.066480
259	126.091340
260	126.091350
261	126.091360
262	126.102730
263	127.038880
264	127.039130
265	127.039160
266	127.039200
267	127.050140
268	127.050390
272	127.123130
275	128.019380
284	128.107130
286	128.107150
291	129.018340
296	129.066040
303	130.049850
304	130.049850
306	130.050090
307	130.064960
308	130.064990
309	130.064990
310	130.064990
311	130.064990
312	130.065000
313	130.065030
314	130.065060
315	130.065060
317	130.086120
318	130.086350
319	130.086360
320	130.086440
322	130.122730
323	130.122730
324	130.158980
328	130.977390
330	131.048890
332	131.049190
338	131.049220
340	131.049290
346	131.085620
353	132.076740
358	132.080800
359	132.101850
360	132.101900
362	132.101970
364	132.101990
369	133.031830
371	133.031970
373	133.060940
392	134.080990
393	134.081090
435	136.048140
443	136.075560
444	136.075640
445	136.075650
450	137.045670
451	137.045780
453	137.045790
454	137.059430
455	137.059430
456	137.059460
457	137.059460
458	137.059650
459	137.059660
460	137.059690
461	137.059690
462	137.059710
463	137.059720
464	137.059720
465	137.059720
466	137.059720
467	137.059740
468	137.059750
469	137.059780
470	137.059800
471	137.059810
472	137.059810
473	137.059810
474	137.070850
475	137.070880
477	137.095960
479	137.107410
480	137.107410
483	137.132420
486	137.132550
489	138.052350
490	138.054700
498	138.091250
499	138.091250
500	138.091250
502	138.127850
513	139.086530
519	139.987630
520	139.987660
521	139.987840
522	139.987880
523	139.987920
528	140.068130
533	141.000270
534	141.000270
535	141.000310
536	141.000500
537	141.000690
538	141.000690
539	141.050960
548	141.958600
552	141.958690
561	142.065060
565	142.086210
575	143.072780
585	143.117810
587	143.117830
593	144.044130
594	144.047820
597	144.065350
598	144.065370
599	144.065370
601	144.065440
605	144.080570
606	144.080630
607	144.080630
608	144.080660
609	144.080670
610	144.080900
611	144.101820
614	144.174480
617	145.049320
620	145.064640
621	145.064640
622	145.064670
623	145.064670
628	145.064740
636	145.101210
637	145.101210
640	145.101230
643	145.133580
647	146.029600
648	146.059810
651	146.059830
653	146.059840
654	146.059880
658	146.059910
659	146.059910
662	146.060170
665	146.081160
669	146.092120
670	146.092130
671	146.092410
676	146.165340
679	147.028750
681	147.043980
682	147.043980
684	147.044110
685	147.044140
686	147.055130
688	147.076480
689	147.080050
690	147.080090
692	147.080350
695	147.080440
696	147.080470
699	147.091510
700	147.112990
701	147.116740
702	147.116840
705	147.116850
710	148.039140
711	148.039180
716	148.075390
719	148.133190
721	149.023190
722	149.023190
723	149.023270
724	149.023320
725	149.023320
726	149.023320
727	149.023330
728	149.023350
729	149.059490
730	149.059620
731	149.059840
732	149.059860
734	149.095790
735	149.095790
737	149.132320
743	150.013700
745	150.054790
746	150.058040
747	150.058140
748	150.058180
749	150.077390
750	150.077410
751	150.077440
752	150.091370
754	150.112290
757	151.035100
759	151.061220
760	151.061230
761	151.061260
762	151.061260
763	151.061260
764	151.075060
765	151.075130
767	151.075150
768	151.075160
769	151.075160
770	151.075160
772	151.075200
773	151.075200
775	151.075270
776	151.075290
777	151.075290
778	151.075300
779	151.075320
780	151.075330
783	151.097950
784	151.111420
786	151.111770
787	151.111820
792	151.122890
795	151.144040
802	152.056400
804	152.056850
806	152.061870
807	152.070310
808	152.070680
813	153.040450
821	153.065670
822	153.065750
830	153.102110
833	153.127120
834	153.127150
835	153.127150
841	153.127490
842	153.127530
843	153.127560
846	153.127580
848	153.993290
849	154.049610
850	154.058670
851	154.061000
855	154.097270
856	154.097270
857	154.989850
858	154.989870
859	154.989880
860	154.989900
861	154.989910
862	154.989930
863	154.989940
864	154.989970
865	154.989970
866	154.990010
867	154.990010
868	154.990010
869	154.990010
870	154.990250
871	154.990310
891	156.042010
893	156.076550
919	158.026760
920	158.026760
921	158.027110
922	158.027130
923	158.027150
924	158.027160
927	158.117520
930	158.117600
934	158.153950
941	159.064930
943	159.065030
944	159.065050
945	159.065060
946	159.065080
947	159.065110
948	159.065120
950	159.065140
952	159.091670
954	159.091800
978	160.075420
979	160.075450
987	160.096890
993	160.132900
1011	162.075840
1012	162.075850
1013	162.075910
1014	162.075910
1015	162.075940
1016	162.075940
1017	162.075940
1018	162.075970
1019	162.075970
1020	162.075970
1021	162.075970
1022	162.075990
1023	162.076020
1024	162.112180
1028	163.038480
1030	163.075000
1036	163.075060
1040	163.075100
1051	163.079070
1062	163.132970
1074	164.066960
1081	165.050960
1084	165.054500
1085	165.054570
1086	165.054630
1087	165.054660
1088	165.054700
1089	165.064220
1090	165.065670
1096	165.090710
1097	165.090770
1098	165.090820
1099	165.090840
1100	165.090840
1101	165.090850
1102	165.090850
1103	165.090870
1104	165.090880
1105	165.090900
1106	165.090900
1107	165.101970
1108	165.101990
1109	165.113240
1110	165.113370
1111	165.113400
1113	165.127120
1115	166.047360
1117	166.053380
1118	166.053420
1120	166.072370
1121	166.072370
1122	166.072390
1123	166.072400
1124	166.085940
1125	166.085950
1126	166.086010
1127	166.086040
1128	166.086110
1132	166.122700
1135	167.012830
1136	167.012880
1137	167.021530
1140	167.069900
1143	167.070110
1144	167.070110
1145	167.070270
1146	167.070300
1147	167.073390
1149	167.092410
1152	167.106540
1153	167.106540
1154	167.106540
1155	167.106540
1156	167.106550
1157	167.106570
1158	167.106580
1159	167.106610
1160	167.106630
1161	167.106630
1163	167.106670
1164	167.106670
1166	167.118000
1167	167.118010
1170	168.065220
1174	168.080780
1178	168.102170
1179	168.112980
1180	168.112980
1181	168.122670
1183	168.564800
1184	169.006420
1185	169.035480
1188	169.054350
1189	169.058380
1190	169.075710
1193	169.085570
1194	169.085650
1195	169.097110
1201	169.121930
1203	169.122040
1207	169.122090
1209	169.122090
1212	169.122150
1216	169.122450
1219	169.158450
1220	169.976810
1221	169.976840
1223	169.977170
1225	169.977290
1226	169.977330
1229	170.032420
1231	170.059720
1232	170.059750
1233	170.059810
1234	170.059840
1235	170.059840
1236	170.059890
1237	170.059890
1238	170.059890
1242	170.096440
1246	171.016360
1247	171.064940
1253	171.112530
1255	171.148770
1256	171.148960
1258	171.149250
1259	171.149250
1267	172.096480
1268	172.096910
1276	172.956090
1283	172.977130
1294	173.095920
1296	173.096240
1298	173.116970
1299	173.128270
1304	173.132610
1309	174.054920
1311	174.054950
1312	174.055020
1314	174.094770
1315	174.112110
1316	174.112630
1317	174.112630
1318	174.123670
1319	174.123670
1320	174.123700
1328	175.023510
1329	175.047710
1330	175.047710
1331	175.071370
1334	175.078640
1335	175.086350
1337	175.107590
1338	175.107670
1339	175.107700
1340	175.111390
1342	175.111570
1343	175.111590
1344	175.111600
1345	175.111600
1346	175.111600
1347	175.111600
1348	175.111620
1349	175.111630
1350	175.111630
1351	175.119090
1352	175.147670
1353	175.147840
1356	176.055250
1357	176.070310
1358	176.070340
1361	176.070710
1363	176.082930
1366	176.127870
1370	177.054280
1373	177.054640
1375	177.090550
1376	177.090610
1377	177.090620
1380	177.090940
1381	177.090940
1382	177.090940
1383	177.090960
1385	177.090970
1386	177.090970
1387	177.090970
1388	177.090970
1389	177.090970
1390	177.090970
1391	177.090970
1392	177.090990
1393	177.090990
1396	177.091140
1398	177.091160
1405	177.127300
1412	177.570190
1415	178.049940
1416	178.053150
1417	178.058300
1418	178.061200
1419	178.086320
1421	178.107220
1422	178.107270
1424	178.107390
1431	179.069810
1433	179.069850
1435	179.070110
1436	179.070140
1437	179.070140
1438	179.070140
1440	179.070160
1445	179.070240
1448	179.070250
1457	179.085530
1459	179.106230
1460	179.106600
1467	180.065350
1468	180.072530
1470	180.080780
1471	180.086300
1472	180.087690
1473	180.087710
1474	180.087720
1476	180.101490
1477	180.101520
1478	180.101780
1481	180.101970
1484	180.138210
1485	180.174610
1491	181.014220
1494	181.064800
1495	181.085740
1497	181.085820
1498	181.085830
1499	181.085910
1500	181.085920
1501	181.085950
1502	181.096910
1503	181.096950
1506	181.108440
1507	181.108440
1510	181.122240
1511	181.122240
1513	181.122250
1517	181.961670
1523	182.081220
1524	182.081310
1525	182.081380
1529	182.190400
1530	182.962100
1531	182.984760
1533	182.984820
1535	182.985110
1537	182.985120
1538	182.985120
1539	182.985140
1540	182.985150
1541	182.985200
1542	182.985210
1544	182.985240
1545	182.985240
1546	182.985240
1547	182.985280
1548	182.985280
1553	183.064970
1554	183.077770
1558	183.101470
1560	183.101560
1561	183.101590
1563	183.101590
1571	183.138020
1576	184.072400
1577	184.072460
1579	184.072570
1581	184.073230
1582	184.075730
1583	184.094150
1584	184.096530
1597	185.032000
1600	185.080640
1604	185.116910
1606	185.117020
1607	185.117030
1608	185.117030
1611	185.117390
1612	185.117390
1613	185.117420
1616	185.128430
1619	185.132570
1623	186.009740
1624	186.054870
1627	186.087490
1629	186.091060
1633	186.112210
1634	186.112720
1636	186.955920
1637	186.955920
1638	186.955950
1639	186.955980
1640	186.955990
1643	186.980930
1645	187.056530
1647	187.071180
1651	187.086320
1655	187.107420
1656	187.111330
1660	187.132320
1661	187.132490
1662	187.132520
1665	187.132930
1670	187.180560
1672	188.055270
1673	188.070500
1674	188.070530
1675	188.070590
1676	188.070600
1678	188.070660
1679	188.070660
1680	188.070690
1681	188.070710
1683	188.091320
1685	188.091420
1689	188.091840
1690	188.091860
1692	188.092070
1697	188.164310
1698	188.175370
1699	188.175370
1701	188.200940
1707	189.086880
1710	189.091020
1712	189.091060
1715	189.091130
1716	189.094180
1718	189.094240
1722	189.123050
1724	189.123110
1726	189.123500
1727	189.123550
1730	189.127270
1732	189.127530
1733	189.127550
1734	189.134580
1735	189.148300
1740	189.163890
1742	190.049390
1744	190.049590
1745	190.049680
1747	190.070690
1748	190.086090
1749	190.097520
1752	190.107250
1758	191.040440
1760	191.054820
1761	191.069950
1763	191.102250
1764	191.106250
1767	191.106290
1768	191.106290
1769	191.106290
1771	191.106310
1773	191.106630
1774	191.106640
1776	191.106660
1777	191.106670
1778	191.106670
1779	191.106670
1780	191.106700
1781	191.106700
1782	191.106720
1785	191.106890
1786	191.106900
1787	191.127560
1788	191.142620
1790	191.143070
1791	191.143230
1792	192.032100
1793	192.032750
1794	192.055330
1795	192.061610
1803	192.104890
1804	192.105470
1806	192.138090
1813	193.034060
1821	193.085820
1826	193.086200
1832	193.086290
1837	193.101460
1840	193.122090
1841	193.122120
1842	193.122120
1846	193.122130
1851	193.122500
1855	193.154430
1864	194.081130
1865	194.081340
1871	194.103840
1877	194.153880
1932	196.169490
1933	196.169690
1934	196.169720
1956	198.085080
1961	198.184780
1964	198.184840
1974	199.144210
1976	199.188170
1979	200.040660
1987	200.127990
1988	200.128070
1989	200.164380
1992	200.200490
1996	201.032580
2003	201.102080
2004	201.102170
2009	201.123630
2013	201.159680
2025	201.163760
2026	201.163760
2028	201.163800
2032	202.085980
2034	202.107160
2035	202.118440
2037	202.125730
2038	202.143360
2039	202.143370
2040	202.143390
2045	202.216290
2047	202.950940
2049	203.052600
2053	203.102460
2054	203.102550
2056	203.106660
2057	203.109650
2060	203.127460
2061	203.127500
2062	203.138960
2063	203.139110
2064	203.142680
2065	203.150210
2066	203.150510
2067	203.179030
2068	203.179370
2069	203.179410
2070	203.179430
2071	203.179430
2072	203.179440
2074	203.179440
2075	203.179470
2076	203.179490
2078	203.222890
2080	204.086690
2082	204.097890
2092	205.085720
2095	205.096950
2096	205.096980
2098	205.097140
2112	205.195020
2113	205.195050
2114	205.195080
2115	205.195110
2116	205.195110
2120	206.044820
2121	206.080510
2122	206.101850
2123	206.101940
2124	206.101970
2125	206.101970
2128	206.102130
2129	206.102130
2130	206.102170
2131	206.102290
2132	206.102340
2134	206.117690
2135	206.120510
2145	207.065080
2147	207.101260
2148	207.101260
2154	207.101750
2155	207.101810
2160	207.112430
2162	207.116520
2166	207.137820
2168	207.137830
2178	208.069200
2182	208.096860
2185	208.098890
2191	208.972530
2196	209.055950
2197	209.062930
2198	209.063050
2199	209.080460
2201	209.080920
2202	209.091870
2204	209.092510
2205	209.095760
2206	209.095920
2207	209.095930
2208	209.101730
2209	209.116870
2211	209.116970
2212	209.116990
2213	209.117000
2214	209.117000
2215	209.117030
2216	209.117030
2217	209.117050
2218	209.117070
2219	209.117070
2220	209.128510
2222	209.132430
2225	209.153430
2226	209.153470
2227	209.153550
2228	209.153550
2230	209.154040
2231	209.189850
2234	210.060500
2235	210.075820
2237	210.112050
2240	210.148930
2244	210.943270
2250	211.107560
2252	211.111110
2254	211.118680
2255	211.118680
2258	211.132450
2259	211.132450
2260	211.132480
2261	211.133010
2262	211.133130
2267	211.168820
2293	213.123060
2298	213.127000
2300	213.127030
2310	214.089000
2311	214.089190
2312	214.089230
2313	214.089250
2314	214.089260
2315	214.089290
2316	214.089290
2317	214.089800
2341	215.138470
2352	216.085050
2358	216.097850
2364	216.159100
2377	217.088680
2379	217.088940
2380	217.096500
2381	217.097150
2382	217.100430
2383	217.104580
2384	217.106840
2385	217.106870
2386	217.106920
2387	217.106960
2389	217.118120
2391	217.121860
2392	217.121890
2393	217.121890
2395	217.121930
2396	217.122180
2397	217.122190
2403	217.158360
2404	217.158620
2407	217.158680
2408	217.987050
2410	218.081090
2413	218.120740
2414	218.120800
2416	218.138370
2418	218.151980
2420	218.175110
2422	218.211440
2423	218.211590
2427	219.026080
2432	219.076160
2433	219.097690
2436	219.100970
2437	219.101410
2438	219.101460
2439	219.101640
2440	219.112520
2442	219.133640
2445	219.133710
2450	219.137830
2451	219.137850
2452	219.137860
2454	219.137860
2456	219.173770
2460	219.173980
2461	219.174030
2463	219.174090
2464	219.174330
2465	219.174450
2469	220.042050
2471	220.082340
2472	220.082410
2473	220.096210
2477	220.117720
2478	220.136440
2483	221.018680
2484	221.080280
2485	221.080350
2486	221.091770
2487	221.091840
2488	221.092130
2492	221.116870
2495	221.127910
2500	221.153400
2501	221.153580
2502	221.153580
2503	221.164570
2505	221.189960
...(truncated for brevity)...
