id,mz,matched_parent_mz,delta_Da,ms2_validated,ms2_match_score,ms2_matched_peaks
1879,239.07462,239.07462,0.0,False,,
2191,239.05251,239.07127,0.01875999999998612,False,,
2749,239.07477,239.07477,0.0,False,,
2885,239.05147,239.07127,0.019800000000003593,False,,
5188,239.07127,239.07127,0.0,False,,
6717,239.08865,239.07477,0.013880000000000337,False,,
8247,239.08853,239.07477,0.013759999999990669,False,,
9483,239.08839,239.07477,0.013620000000003074,False,,
10054,239.08868,239.07477,0.013910000000009859,False,,
14057,239.08931,239.07477,0.014540000000010878,False,,
